State,Latitude,Longitude,Population
Alabama,32.7794,-86.8287,488
Alaska,64.0685,-152.2782,738
Arizona,34.2744,-111.6602,712
Arkansas,34.8938,-92.4426,302
California,37.1841,-119.4696,397
Colorado,38.9972,-105.5478,568
Connecticut,41.6219,-72.7273,358
Delaware,38.9896,-75.5050,971
District of Columbia,38.9101,-77.0147,703
Florida,28.6305,-82.4497,213
Georgia,32.6415,-83.4426,105
Hawaii,20.2927,-156.3737,142
Idaho,44.3509,-114.6130,175
Illinois,40.0417,-89.1965,127
Indiana,39.8942,-86.2816,669
Iowa,42.0751,-93.4960,316
Kansas,38.4937,-98.3804,291
Kentucky,37.5347,-85.3021,447
Louisiana,31.0689,-91.9968,468
Maine,45.3695,-69.2428,134
Maryland,39.0550,-76.7909,607
Massachusetts,42.2596,-71.8083,689
Michigan,44.3467,-85.4102,999
Minnesota,46.2807,-94.3053,562
Mississippi,32.7364,-89.6678,298
Missouri,38.3566,-92.4580,613
Montana,47.0527,-109.6333,106
Nebraska,41.5378,-99.7951,193
Nevada,39.3289,-116.6312,3056
New Hampshire,43.6805,-71.5811,135
New Jersey,40.1907,-74.6728,903
New Mexico,34.4071,-106.1126,209
New York,42.9538,-75.5268,198
North Carolina,35.5557,-79.3877,103
North Dakota,47.4501,-100.4659,755
Ohio,40.2862,-82.7937,116
Oklahoma,35.5889,-97.4943,394
Oregon,43.9336,-120.5583,419
Pennsylvania,40.8781,-77.7996,128
Rhode Island,41.6762,-71.5562,106
South Carolina,33.9169,-80.8964,508
South Dakota,44.4443,-100.2263,877
Tennessee,35.8580,-86.3505,678
Texas,31.4757,-99.3312,287
Utah,39.3055,-111.6703,315
Vermont,44.0687,-72.6658,629
Virginia,37.5215,-78.8537,852
Washington,47.3826,-120.4472,753
West Virginia,38.6409,-80.6227,180
Wisconsin,44.6243,-89.9941,581
Wyoming,42.9957,-107.5512,573
