State,Latitude,Longitude,Population
Montana,47.0527,-109.6333,1062
Nebraska,41.5378,-99.7951,1932
Nevada,39.3289,-116.6312,3056
New Hampshire,43.6805,-71.5811,1350
New Jersey,40.1907,-74.6728,480
New Mexico,34.4071,-106.1126,2090
New York,42.9538,-75.5268,1986
North Carolina,35.5557,-79.3877,1039
North Dakota,47.4501,-100.4659,755
Ohio,40.2862,-82.7937,1169
Oklahoma,35.5889,-97.4943,1234
Oregon,43.9336,-120.5583,890
Pennsylvania,40.8781,-77.7996,1282
Rhode Island,41.6762,-71.5562,1061
South Carolina,33.9169,-80.8964,5082
South Dakota,44.4443,-100.2263,872
Tennessee,35.8580,-86.3505,539
Texas,31.4757,-99.3312,1000
Utah,39.3055,-111.6703,900
Vermont,44.0687,-72.6658,623
Virginia,37.5215,-78.8537,852
Washington,47.3826,-120.4472,753
West Virginia,38.6409,-80.6227,1803
Wisconsin,44.6243,-89.9941,581
Wyoming,42.9957,-107.5512,573
